slug,koma,caveat(根拠不明な数字/事実),persona,status
honda,7,【7コマ目】OB先輩の「選考は厳しいけど、倍率じゃなくて、その人が本当に挑戦したいかを見てる」がどの会社でも言える汎用文句(①原則E違反)。OB自身の選考体験の一場面に変えろ。「[OB先輩] 最終面接で『あなたが諦めなかった失敗を話して』って聞かれた。成功談じゃなく失敗談。そこで折れた話をした人は通らなかったって聞いた」,木内(具体性ハンター),未裏取り
honda,1,【1コマ目】『2025年5月に累計生産5億台達成』——この数字、出典が不明。ホンダ公式発表か、報道ベースか。根拠を確認したい。,仁科(ファクト検証),未裏取り
honda,2,"【2コマ目】『2023年度で1,881万台』——年度の定義がホンダの会計年度(4月〜3月)か暦年かが不明。出典はホンダ決算資料か第三者調査か、根拠が不明。",仁科(ファクト検証),未裏取り
honda,3,【3コマ目】『累計200万台突破』——累計の起算点(何年から何年まで)が示されていない。この数字の根拠と期間、本当に確認済み?,仁科(ファクト検証),未裏取り
honda,5,【5コマ目】『平均年収896万円』——出典が不明。有価証券報告書ベースか、就職情報サイトの集計か。根拠を問いたい。また『トヨタより低い』という比較対象のトヨタの数字も出典不明。,仁科(ファクト検証),未裏取り
honda,6,【6コマ目】『新卒採用は497名』——年度が明示されていない。何年度の採用実績か、または計画数か。本当の数字か根拠が不明。,仁科(ファクト検証),未裏取り
honda,10,"【10コマ目】『四輪410万台』——2コマ目では二輪1,881万台のみ言及し四輪台数は登場していない。ここで初出の数字だが出典・年度が不明。また二輪1,881万台と四輪410万台を同一年度の数字として並列しているなら、年度の一致を確認したい。",仁科(ファクト検証),未裏取り
honda,2,③『アジアの街を走るバイクの大半がホンダ』→根拠ある? 出典どこ?,千田(素の読者),未裏取り
honda,3,③『累計200万台突破』→いつ時点の数字? 根拠ある?,千田(素の読者),未裏取り
honda,5,①『金額じゃなくて、喜びの総量が評価される』→実際の評価制度の話じゃなくて、ナナが勝手に解釈してるだけに見える。誤解を招かない?,千田(素の読者),未裏取り
honda,10,"⑥コマ2では『1,881万台』、コマ10でも『1,881万台』は統一されてる。四輪『410万台』はコマ10初出だけど根拠③どこの数字?",千田(素の読者),未裏取り
